line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Norman Powell U*threes, 2.0, 0.7591521043766558, , -308.0*, -318.0*, -315.0*, -320.0*, 
Norman Powell O*steals, 0.5, 0.5555555555555556, , , , -125, , 
Norman Powell U*steals, 0.5, 0.5238095238095238, , , , -110, , 
Norman Powell O*blocks, 0.5, 0.21052631578947367, , , , 375, , 
Norman Powell O*stlblk, 0.5, 0.6363636363636364, , , , -175, , 
Norman Powell U*stlblk, 0.5, 0.43478260869565216, , , , 130, , 
Josh Green O*points, 4.5, 0.5073330145066156, , , -104, 100, -105, 
Josh Green U*points, 4.5, 0.559857730070496, , , -122, -135, -125, 
Josh Green O*threes, 0.5, 0.5222832722832723, , -108, , -110, -110, 
Josh Green U*threes, 0.5, 0.5397369925671812, , -112, , -120, -120, 
Josh Green O*steals, 0.5, 0.5652173913043478, , , , -130, , 
Josh Green U*steals, 0.5, 0.5121951219512195, , , , -105, , 
Josh Green O*blocks, 0.5, 0.2222222222222222, , , , 350, , 
Josh Green O*stlblk, 0.5, 0.6491228070175439, , , , -185, , 
Josh Green U*stlblk, 0.5, 0.425531914893617, , , , 135, , 
Ivica Zubac O*points, 14.5, 0.5695597932217513, -105, 100, -399.0*, -110, -105, 
Ivica Zubac U*points, 14.5, 0.5461296815177858, 118, -120, -167.0*, -120, -125, 
Ivica Zubac O*rebounds, 10.5, 0.5450848219301202, -115, -115, -115, -130, -125, 
Ivica Zubac U*rebounds, 10.5, 0.5195070874989584, -115, -105, -111, -105, -105, 
Ivica Zubac O*rebast, 12.0, 0.22288874370599143, , 352.0*, , 347.0*, 347.0*, 
Ivica Zubac U*rebast, 12.0, 0.4872657077028458, , 112.0*, , 102.0*, 102.0*, 
Ivica Zubac O*ptsreb, 25.5, 0.5880442124498969, , -108, -367.0*, -115, -105, 
Ivica Zubac U*ptsreb, 25.5, 0.5527254864903874, , -112, -139.0*, -120, -125, 
Ivica Zubac O*blocks, 1.5, 0.37362106309820575, 165, , 168, 170, , 
Ivica Zubac U*blocks, 1.5, 0.6922591297591297, -230, , -220, -225, , 
Ivica Zubac O*stlblk, 2.0, 0.8620689655172413, , , , -625.0*, , 
Ivica Zubac U*stlblk, 2.0, 0.7590361445783133, , , , -315.0*, , 
Terance Mann O*points, 9.5, 0.5163208466935898, -104, -108, -102, -110, -110, 
Terance Mann U*points, 9.5, 0.5292929292929294, 112, -112, -125, -120, -120, 
Amir Coffey O*points, 5.5, 0.5438421776449945, , , -113, -125, -120, 
Amir Coffey U*points, 5.5, 0.5221736925618753, , , -113, -105, -110, 
Mason Plumlee O*points, 3.5, 0.5664667666166916, , , -132, -130, -130, 
Mason Plumlee U*points, 3.5, 0.49673202614379086, , , 104, 100, 100, 
Terance Mann O*rebounds, 4.0, 0.5681991232648255, -473.0*, 455.0*, -465.0*, 450.0*, -490.0*, 
Terance Mann U*rebounds, 4.0, 0.5573463573463574, -215.0*, 170.0*, -215.0*, 160.0*, -200.0*, 
Terance Mann O*rebast, 6.0, 0.8059725086945394, , , , -423.0*, -408.0*, 
Terance Mann U*rebast, 6.0, 0.7176848684986437, , , , -178.0*, -388.0*, 
Amir Coffey O*threes, 0.5, 0.6695918949771689, , -192, -220, -200, -200, 
Amir Coffey U*threes, 0.5, 0.38943742824339844, , 160, 168, 150, 150, 
Terance Mann O*threes, 1.5, 0.401200358083475, 160, 142, 150, 150, 145, 
Terance Mann U*threes, 1.5, 0.6597665311335262, -220, -170, -194, -200, -190, 
